"","id","age","workclass","fnlwgt","education","education.num","marital.status","occupation","relationship","race","sex","hours.per.week","native.country","salary","age_cat"
"1",1,39,"Other-Govt",77516,"Bachelors",13,"Not-Married","Admin","Not-in-family","White","Male",40," United-States",0,"cat_3"
"2",2,50,"Self-Employed",83311,"Bachelors",13,"Married","White-Collar","Husband","White","Male",13," United-States",0,"cat_4"
"3",3,38,"Private",215646,"HS-grad",9,"Not-Married","Blue-Collar","Not-in-family","White","Male",40," United-States",0,"cat_3"
"4",4,53,"Private",234721,"11th",7,"Married","Blue-Collar","Husband","Black","Male",40," United-States",0,"cat_4"
"5",5,28,"Private",338409,"Bachelors",13,"Married","Professional","Wife","Black","Female",40," Cuba",0,"cat_2"
"6",6,37,"Private",284582,"Masters",14,"Married","White-Collar","Wife","White","Female",40," United-States",0,"cat_3"
"7",7,49,"Private",160187,"9th",5,"Not-Married","Service","Not-in-family","Black","Female",16," Jamaica",0,"cat_4"
"8",8,52,"Self-Employed",209642,"HS-grad",9,"Married","White-Collar","Husband","White","Male",45," United-States",1,"cat_4"
"9",9,31,"Private",45781,"Masters",14,"Not-Married","Professional","Not-in-family","White","Female",50," United-States",1,"cat_2"
"10",10,42,"Private",159449,"Bachelors",13,"Married","White-Collar","Husband","White","Male",40," United-States",1,"cat_3"
"11",11,37,"Private",280464,"Some-college",10,"Married","White-Collar","Husband","Black","Male",80," United-States",1,"cat_3"
"12",12,30,"Other-Govt",141297,"Bachelors",13,"Married","Professional","Husband","Asian-Pac-Islander","Male",40," India",1,"cat_2"
"13",13,23,"Private",122272,"Bachelors",13,"Not-Married","Admin","Own-child","White","Female",30," United-States",0,"cat_2"
"14",14,32,"Private",205019,"Assoc-acdm",12,"Not-Married","Sales","Not-in-family","Black","Male",50," United-States",0,"cat_2"
"15",15,40,"Private",121772,"Assoc-voc",11,"Married","Blue-Collar","Husband","Asian-Pac-Islander","Male",40," ?",1,"cat_3"
"16",16,34,"Private",245487,"7th-8th",4,"Married","Blue-Collar","Husband","Amer-Indian-Eskimo","Male",45," Mexico",0,"cat_2"
"17",17,25,"Self-Employed",176756,"HS-grad",9,"Not-Married","Blue-Collar","Own-child","White","Male",35," United-States",0,"cat_2"
